time,gFx,gFy,gFz,TgF
0.341337807,-0.1688,0.9648,0.2424,1.009
0.345067422,-0.1642,0.9640,0.2399,1.007
0.345763422,-0.1586,0.9640,0.2365,1.005
0.347494038,-0.1524,0.9645,0.2348,1.004
0.34959573,-0.1459,0.9650,0.2336,1.004
0.352583499,-0.1388,0.9648,0.2333,1.002
0.353406076,-0.1314,0.9643,0.2326,1.001
0.356165961,-0.1246,0.9645,0.2304,0.999
0.357413038,-0.1190,0.9645,0.2292,0.998
0.360194076,-0.1143,0.9631,0.2284,0.996
0.371520692,-0.1112,0.9616,0.2265,0.994
0.372286961,-0.1099,0.9601,0.2240,0.992
0.372667269,-0.1094,0.9589,0.2211,0.990
0.373058845,-0.1102,0.9582,0.2187,0.989
0.373436038,-0.1124,0.9569,0.2147,0.987
0.373813422,-0.1146,0.9560,0.2133,0.986
0.374201807,-0.1175,0.9550,0.2111,0.985
0.376019307,-0.1202,0.9545,0.2084,0.984
0.377988384,-0.1229,0.9552,0.2074,0.985
0.380472769,-0.1261,0.9565,0.2084,0.987
0.381193845,-0.1292,0.9584,0.2091,0.989
0.383616576,-0.1327,0.9606,0.2111,0.992
0.385658115,-0.1366,0.9618,0.2138,0.995
0.388132845,-0.1402,0.9633,0.2174,0.997
0.390023807,-0.1434,0.9650,0.2218,1.001
0.392059115,-0.1463,0.9660,0.2262,1.003
0.393958922,-0.1490,0.9670,0.2309,1.005
0.396074538,-0.1524,0.9675,0.2348,1.007
0.397499422,-0.1561,0.9675,0.2389,1.009
0.399680615,-0.1590,0.9675,0.2441,1.010
0.401371384,-0.1620,0.9679,0.2489,1.012
0.404089961,-0.1642,0.9687,0.2531,1.015
0.406036076,-0.1649,0.9689,0.2563,1.016
0.408111922,-0.1647,0.9694,0.2607,1.017
0.409381499,-0.1627,0.9706,0.2653,1.019
0.411558076,-0.1600,0.9714,0.2704,1.021
0.414081768,-0.1568,0.9719,0.2763,1.022
0.416423807,-0.1532,0.9721,0.2819,1.024
0.417298615,-0.1498,0.9719,0.2858,1.024
0.420725153,-0.1473,0.9716,0.2895,1.024
0.421441538,-0.1449,0.9709,0.2932,1.024
0.424511422,-0.1422,0.9699,0.2946,1.024
0.426043768,-0.1383,0.9684,0.2956,1.022
0.428138884,-0.1349,0.9670,0.2956,1.020
0.431849845,-0.1324,0.9660,0.2954,1.019
0.432764345,-0.1300,0.9648,0.2954,1.017
0.433345922,-0.1273,0.9640,0.2944,1.016
0.436243538,-0.1239,0.9633,0.2939,1.015
0.438221345,-0.1204,0.9628,0.2934,1.014
0.440133038,-0.1168,0.9628,0.2919,1.013
0.441163653,-0.1087,0.9616,0.2900,1.010
0.444186538,-0.0738,0.9545,0.2883,1.000
0.446126845,0.0274,0.9362,0.2871,0.980
0.448122884,0.2377,0.9064,0.2824,0.979
0.450269768,0.4974,0.8802,0.2446,1.040
0.452136692,0.6721,0.8697,0.1664,1.112
0.454199999,0.6814,0.8705,0.0945,1.109
0.456212576,0.5233,0.8771,0.0669,1.024
0.458173345,0.2704,0.8876,0.0823,0.931
0.459787692,0.0215,0.9034,0.1207,0.912
0.465676307,-0.1622,0.9227,0.1625,0.951
0.466510653,-0.2731,0.9420,0.2016,1.001
0.467036884,-0.3374,0.9584,0.2377,1.044
0.467625499,-0.3816,0.9721,0.2700,1.079
0.469720884,-0.4175,0.9806,0.2985,1.107
0.471729038,-0.4485,0.9831,0.3213,1.127
0.473987153,-0.4720,0.9806,0.3352,1.139
0.476354576,-0.4840,0.9736,0.3403,1.139
0.482376268,-0.4869,0.9635,0.3393,1.132
0.483512076,-0.4818,0.9526,0.3349,1.119
