t_Android;t_unix;x;y;z;a
419788638148467;1702702503250;-1.606225;-2.4059496;-1.878678;3
419788646143970;1702702503271;-1.606225;-2.4059496;-1.878678;3
419788654139473;1702702503271;-1.606225;-2.4059496;-1.878678;3
419788662104459;1702702503274;-1.606225;-2.4059496;-1.878678;3
419788670099962;1702702503282;-1.606225;-2.4059496;-1.878678;3
419788678095466;1702702503299;-1.606225;-2.4059496;-1.878678;3
419788686090968;1702702503299;-1.606225;-2.4059496;-1.878678;3
419788694086472;1702702503327;-1.606225;-2.4059496;-1.878678;3
419788702081974;1702702503327;-1.606225;-2.4059496;-1.878678;3
419788710077478;1702702503327;-1.606225;-2.4059496;-1.878678;3
419788718072981;1702702503330;-1.606225;-2.4059496;-1.878678;3
419788726068484;1702702503355;-1.606225;-2.4059496;-1.878678;3
419788734063987;1702702503355;-1.606225;-2.4059496;-1.878678;3
419788742059490;1702702503355;-1.606225;-2.4059496;-1.878678;3
419788750054993;1702702503362;-1.606225;-2.4059496;-1.878678;3
419788758050496;1702702503382;-1.606225;-2.4059496;-1.878678;3
419788766045999;1702702503382;-1.606225;-2.4059496;-1.878678;3
419788774041502;1702702503410;-1.606225;-2.4059496;-1.878678;3
419788782037006;1702702503410;-1.606225;-2.4059496;-1.878678;3
419788790032508;1702702503410;-1.606225;-2.4059496;-1.878678;3
419788798028012;1702702503410;-1.606225;-2.4059496;-1.878678;3
419788805992998;1702702503418;-1.606225;-2.4059496;-1.878678;3
419788813988501;1702702503439;-1.606225;-2.4059496;-1.878678;3
419788821984004;1702702503439;-1.606225;-2.4059496;-1.878678;3
419788829979507;1702702503442;-1.606225;-2.4059496;-1.878678;3
419788837975011;1702702503450;-1.606225;-2.4059496;-1.878678;3
419788845970513;1702702503466;-1.606225;-2.4059496;-1.878678;3
419788853966016;1702702503466;-1.606225;-2.4059496;-1.878678;3
419788861961519;1702702503494;-1.606225;-2.4059496;-1.878678;3
419788869957022;1702702503494;-1.606225;-2.4059496;-1.878678;3
419788877952526;1702702503494;-1.606225;-2.4059496;-1.878678;3
419788885948028;1702702503498;-1.606225;-2.4059496;-1.878678;3
419788893943532;1702702503523;-1.606225;-2.4059496;-1.878678;3
419788901939035;1702702503523;-1.606225;-2.4059496;-1.878678;3
419788909904021;1702702503523;-1.606225;-2.4059496;-1.878678;3
419788917899524;1702702503530;-1.606225;-2.4059496;-1.878678;3
419788925895027;1702702503552;-1.606225;-2.4059496;-1.878678;3
419788933890530;1702702503552;-1.606225;-2.4059496;-1.878678;3
419788941886033;1702702503554;-1.606225;-2.4059496;-1.878678;3
419788949881537;1702702503562;-1.606225;-2.4059496;-1.878678;3
419788957877039;1702702503580;-1.606225;-2.4059496;-1.878678;3
419788965872542;1702702503580;-1.606225;-2.4059496;-1.878678;3
419788973868046;1702702503586;-1.606225;-2.4059496;-1.878678;3
419788981863548;1702702503609;-1.606225;-2.4059496;-1.878678;3
419788989828534;1702702503609;-1.606225;-2.4059496;-1.878678;3
419788997824038;1702702503610;-1.606225;-2.4059496;-1.878678;3
419789005819541;1702702503618;-1.606225;-2.4059496;-1.878678;3
419789013815044;1702702503636;-1.606225;-2.4059496;-1.878678;3
419789021810547;1702702503636;-1.606225;-2.4059496;-1.878678;3
419789029806050;1702702503642;-1.606225;-2.4059496;-1.878678;3
419789037801553;1702702503650;-1.606225;-2.4059496;-1.878678;3
419789045766539;1702702503664;-1.606225;-2.4059496;-1.878678;3
419789053762042;1702702503666;-1.606225;-2.4059496;-1.878678;3
